datasetkey	Title	Text	License
01bc220b-39b8-4837-b235-f921187af771	James Cook University Herbarium (JCT) AVH data	James Cook University (2022). James Cook University Herbarium (JCT) AVH data. Occurrence dataset https://doi.org/10.15468/mzbw85 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
0645ccdb-e001-4ab0-9729-51f1755e007e	NSW BioNet Atlas	NSW Department of planning, industry and environment (2022). NSW BioNet Atlas. Occurrence dataset https://doi.org/10.15468/14jd9g accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
07a54454-87c7-4e1e-b2ba-88a9d98d534b	NSW AVH feed	The Royal Botanic Gardens & Domain Trust (2022). NSW AVH feed. Occurrence dataset https://doi.org/10.15468/jf3yae accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
0943f690-fde5-11dd-83f4-b8a03c50a862	Phanerogamic Botanical Collections (S)	Lundberg J (2023). Phanerogamic Botanical Collections (S). Swedish Museum of Natural History. Occurrence dataset https://doi.org/10.15468/yo3mmu accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/publicdomain/zero/1.0/legalcode
0c56af33-2b10-48af-a87b-f67b6881f036	John T. Waterhouse Herbarium (UNSW) AVH data	Australia's Virtual Herbarium (2022). John T. Waterhouse Herbarium (UNSW) AVH data. Occurrence dataset https://doi.org/10.15468/3r76br accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
1357f50f-ae5c-4813-a8b2-5be49c604857	Auburn University, John D. Freeman Herbarium	Auburn University Museum (2023). Auburn University, John D. Freeman Herbarium. Occurrence dataset https://doi.org/10.15468/7p8bc7 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
15738fee-78b1-4751-bcc1-cbf7139c68de	Centre for Australian National Biodiversity Research (CANB) AVH data	Centre for Australian National Biodiversity Research (2022). Centre for Australian National Biodiversity Research (CANB) AVH data. Occurrence dataset https://doi.org/10.15468/xycuk7 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
15f819bd-6612-4447-854b-14d12ee1022d	Naturalis Biodiversity Center (NL) - Botany	Bijmoer R, Scherrenberg M, Creuwels J (2023). Naturalis Biodiversity Center (NL) - Botany. Naturalis Biodiversity Center. Occurrence dataset https://doi.org/10.15468/ib5ypt accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/publicdomain/zero/1.0/legalcode
17efa320-7312-4b55-bf0a-a4cfc4613169	"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas"	"Cândida Henrique Mamede M (2023). SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas. Version 1.100. Instituto de Botânica, São Paulo. Occurrence dataset https://doi.org/10.15468/axlcjr accessed via GBIF.org on 2023-05-30."	http://creativecommons.org/licenses/by-nc/4.0/legalcode
1a9d08bb-9e2c-4540-8f7f-3205846b6ddc	UTEP Plants (Arctos)	Mayfield-Meyer T, Zhuang V (2023). UTEP Plants (Arctos). Version 5.78. University of Texas at El Paso Biodiversity Collections. Occurrence dataset https://doi.org/10.15468/yhb6ky accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/publicdomain/zero/1.0/legalcode
2002f5f5-a2b6-43ee-bcc7-44811ae22acb	Janet Cosh Herbarium (WOLL) AVH data	University of Wollongong (2022). Janet Cosh Herbarium (WOLL) AVH data. Occurrence dataset https://doi.org/10.15468/vqth7r accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
2651f9da-9999-4cd2-9f17-293a977ffe58	Australian Tropical Herbarium (CNS) AVH data	Australian Tropical Herbarium (2022). Australian Tropical Herbarium (CNS) AVH data. Occurrence dataset https://doi.org/10.15468/xunb57 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
270c3da6-45ad-4272-804b-33ac7ee33421	Northern Territory Herbarium (DNA) AVH data	Department of Environment and Natural Resources (2022). Northern Territory Herbarium (DNA) AVH data. Occurrence dataset https://doi.org/10.15468/e46kae accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
2a513d16-f4ce-4252-974f-2486ce70b788	SA Flora (BDBSA)	South Australia, Department for Environment and Water (2023). SA Flora (BDBSA). Occurrence dataset https://doi.org/10.15468/af24d8 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
2e684fd6-09e2-4661-910a-0a188b610c04	HUEFS - Herbario da Universidade Estadual de Feira de Santana	Paganucci Queiroz L (2023). HUEFS - Herbario da Universidade Estadual de Feira de Santana. Version 1.101. Universidade Estadual de Feira de Santana. Occurrence dataset https://doi.org/10.15468/6ymx97 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
3c59bd42-7bfd-421b-8da4-275780390e4c	Desert Botanical Garden Herbarium	Desert Botanical Garden Herbarium (2023). Desert Botanical Garden Herbarium. Occurrence dataset https://doi.org/10.15468/abe1lg accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
42301ebf-d36a-4e4f-a061-d37d778c2365	Tasmanian Herbarium (HO) AVH data	Tasmanian Museum and Art Gallery (2022). Tasmanian Herbarium (HO) AVH data. Occurrence dataset https://doi.org/10.15468/8wmoeb accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
4300f8d5-1ae5-49e5-a101-63894b005868	RB - Rio de Janeiro Botanical Garden Herbarium Collection	Forzza R, Estevão L A, Dalcin E (2023). RB - Rio de Janeiro Botanical Garden Herbarium Collection. Version 84.245. Instituto de Pesquisas Jardim Botanico do Rio de Janeiro. Occurrence dataset https://doi.org/10.15468/7ep9i2 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4	National Herbarium of Victoria (MEL) AVH data	Australia's Virtual Herbarium (2022). National Herbarium of Victoria (MEL) AVH data. Occurrence dataset https://doi.org/10.15468/rhzrxw accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
5288946d-5fcf-4b53-8fd3-74f4cc6b53fc	CONN	Capers R (2014). CONN. University of Connecticut. Occurrence dataset https://doi.org/10.15468/w35jmd accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
5a3b50fa-c882-4129-9405-38e54c0a73f3	Western Australian Herbarium (PERTH) AVH data	Western Australia, Department of Biodiversity, Conservation and Attractions (2022). Western Australian Herbarium (PERTH) AVH data. Occurrence dataset https://doi.org/10.15468/9rkjjq accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
5d7f5915-0561-4107-aa20-20a4267c203f	BRI AVH data	Queensland Department of Environment and Science (2023). BRI AVH data. Occurrence dataset https://doi.org/10.15468/jsffsa accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
7bd65a7a-f762-11e1-a439-00145eb45e9a	Tropicos MO Specimen Data	Teisher J, Stimmel H (2023). Tropicos MO Specimen Data. Missouri Botanical Garden. Occurrence dataset https://doi.org/10.15468/hja69f accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
7f5260c2-f762-11e1-a439-00145eb45e9a	Natural History Museum, Vienna - Herbarium W	Natural History Museum, Vienna. Natural History Museum, Vienna - Herbarium W. Occurrence dataset https://doi.org/10.15468/5sl7sh accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
821cc27a-e3bb-4bc5-ac34-89ada245069d	NMNH Extant Specimen Records (USNM, US)	Orrell T, Informatics Office (2023). NMNH Extant Specimen Records (USNM, US). Version 1.68. National Museum of Natural History, Smithsonian Institution. Occurrence dataset https://doi.org/10.15468/hnhrg3 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/publicdomain/zero/1.0/legalcode
834c9918-f762-11e1-a439-00145eb45e9a	CSIC-Real Jardín Botánico-Colección de Plantas Vasculares (MA)	CSIC-Real Jardín Botánico, Castilla F (2023). CSIC-Real Jardín Botánico-Colección de Plantas Vasculares (MA). Real Jardín Botánico (CSIC). Occurrence dataset https://doi.org/10.15468/mug7kr accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
85714c48-f762-11e1-a439-00145eb45e9a	Herbarium Berolinense, Berlin (B)	Botanic Garden and Botanical Museum Berlin (2017). Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/dlwwhz accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/publicdomain/zero/1.0/legalcode
85771146-f762-11e1-a439-00145eb45e9a	Staatliches Museum für Naturkunde Stuttgart, Herbarium	Botanic Garden and Botanical Museum Berlin. Staatliches Museum für Naturkunde Stuttgart, Herbarium. Occurrence dataset https://doi.org/10.15468/s1f4aw accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
861e6afe-f762-11e1-a439-00145eb45e9a	Harvard University Herbaria: All Records	Kennedy J (2023). Harvard University Herbaria: All Records. Harvard University Herbaria. Occurrence dataset https://doi.org/10.15468/o3pvnh accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
8642acf1-68f2-42b2-8ce3-97798e383cb2	The University of Melbourne Herbarium (MELU) AVH data	The University of Melbourne (2022). The University of Melbourne Herbarium (MELU) AVH data. Occurrence dataset https://doi.org/10.15468/2yyu7i accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
8bc47548-aaed-4ad6-96d0-85c97955a81e	N.C.W. Beadle Herbarium (NE) AVH data	University of New England (2022). N.C.W. Beadle Herbarium (NE) AVH data. Occurrence dataset https://doi.org/10.15468/7t5ghf accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
902c8fe7-8f38-45b0-854e-c324fed36303	Moscow University Herbarium (MW)	Seregin A (2023). Moscow University Herbarium (MW). Version 1.282. Lomonosov Moscow State University. Occurrence dataset https://doi.org/10.15468/cpnhcc accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
9168f50d-350e-4af1-ba97-17274f1faeaf	MPM Milwaukee Public Museum Herbarium	Tyrrell C (2020). MPM Milwaukee Public Museum Herbarium. Milwaukee Public Museum. Occurrence dataset https://doi.org/10.15468/sclgzd accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
9360958c-3534-4d53-874e-4a952eea3e6d	State Herbarium of South Australia (AD) AVH data	Department of Environment and Natural Resources (2022). State Herbarium of South Australia (AD) AVH data. Occurrence dataset https://doi.org/10.15468/z6vaed accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
9781ce05-2379-4a10-ab3b-c91346510df8	RSA - California Botanic Garden Herbarium	Rancho Santa Ana Botanic Garden (2023). RSA - California Botanic Garden Herbarium. Occurrence dataset https://doi.org/10.15468/0yosx9 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
aab0cf80-0c64-11dd-84d1-b8a03c50a862	Lund Botanical Museum (LD)	Wittzell H, Shah M (2022). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
ae33dc82-0bc2-43b5-b69b-65bf858f1e7a	CHSC - CSU Chico, Chico State Herbarium - Vascular Plants	Chico State Herbarium (2023). CHSC - CSU Chico, Chico State Herbarium - Vascular Plants. Occurrence dataset https://doi.org/10.15468/ckxw7v accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
b0515413-6d32-490a-83a0-f8c08f002c70	CDA - California Department of Food and Agriculture	California Department of Food and Agriculture (CDA) (2023). CDA - California Department of Food and Agriculture. Occurrence dataset https://doi.org/10.15468/phc373 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
b5cdf794-8fa4-4a85-8b26-755d087bf531	The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)	MNHN, Chagnoux S (2023). The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris). Version 69.312. MNHN - Museum national d'Histoire naturelle. Occurrence dataset https://doi.org/10.15468/nc6rxy accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
b79aa9e2-e14b-40df-98d6-10b98a618064	NU: KwaZulu-Natal Invasive Alien Species (1821-2011)	Bytebier D B, Ranwashe F (2016). NU: KwaZulu-Natal Invasive Alien Species (1821-2011). South African National Biodiversity Institute. Occurrence dataset https://doi.org/10.15468/81w5bx accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
b929f23d-290f-4e85-8f17-764c55b3b284	Bernice P. Bishop Museum	Pyle R (2016). Bernice P. Bishop Museum. Version 8.1. Bernice Pauahi Bishop Museum. Occurrence dataset https://doi.org/10.15468/s6ctus accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/publicdomain/zero/1.0/legalcode
bf2a4bf0-5f31-11de-b67e-b8a03c50a862	Royal Botanic Garden Edinburgh Herbarium (E)	Rob Cubey (2022). Royal Botanic Garden Edinburgh Herbarium (E). Royal Botanic Garden Edinburgh. Occurrence dataset https://doi.org/10.15468/ypoair accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
bfbac936-6715-4f50-9b18-175bffb85025	ERBG AVH data	Atlas of Living Australia (2020). ERBG AVH data. Occurrence dataset https://doi.org/10.15468/swmlas accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
ca7f81ae-ebf9-43a8-947c-535a87fe5aec	EAC - Herbário Prisco Bezerra	Iracema Bezerra Loiola M (2023). EAC - Herbário Prisco Bezerra. Version 1.101. Universidade Federal do Ceará. Occurrence dataset https://doi.org/10.15468/mgeah1 accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
cd6905cf-54d7-4628-b762-f63d269e239b	R - Herbário do Museu Nacional	Lúcia Campos Martins V (2023). R - Herbário do Museu Nacional. Version 1.102. Museu Nacional / UFRJ. Occurrence dataset https://doi.org/10.15468/3qpd4g accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by-nc/4.0/legalcode
cd6e21c8-9e8a-493a-8a76-fbf7862069e5	Royal Botanic Gardens, Kew - Herbarium Specimens	Royal Botanic Gardens, Kew (2021). Royal Botanic Gardens, Kew - Herbarium Specimens. Occurrence dataset https://doi.org/10.15468/ly60bx accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
d0963cee-1a29-47a2-b9bf-fb0e7690077c	Botanical Database of Southern Africa (BODATSA): Botanical Collections	Ranwashe F (2023). Botanical Database of Southern Africa (BODATSA): Botanical Collections. Version 1.19. South African National Biodiversity Institute. Occurrence dataset https://doi.org/10.15468/2aki0q accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
d415c253-4d61-4459-9d25-4015b9084fb0	The New York Botanical Garden Herbarium (NY)	Ramirez J, Watson K, McMillin L, Gjieli E, Sessa E (2023). The New York Botanical Garden Herbarium (NY). Version 1.61. The New York Botanical Garden. Occurrence dataset https://doi.org/10.15468/6e8nje accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/publicdomain/zero/1.0/legalcode
d8cd16ba-bb74-4420-821e-083f2bac17c2	INSDC Sequences	European Bioinformatics Institute (EMBL-EBI), GBIF Helpdesk (2023). INSDC Sequences. Version 1.33. European Nucleotide Archive (EMBL-EBI). Metadata dataset https://doi.org/10.15468/sbmztx accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
df582950-3b58-11dc-8c19-b8a03c50a862	Allan Herbarium (CHR)	Wilton A (2023). Allan Herbarium (CHR). Landcare Research. Occurrence dataset https://doi.org/10.15468/x5ucvh accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
e05fd4c2-4d77-4c50-880e-1b22096af300	Arizona State University Vascular Plant Herbarium	Arizona State University Biocollections (2023). Arizona State University Vascular Plant Herbarium. Occurrence dataset https://doi.org/10.15468/a2o8vy accessed via GBIF.org on 2023-05-30.	http://creativecommons.org/licenses/by/4.0/legalcode
